id	created_at	favourite_count	retweet_count	length
848983209580822529	1491244745	57162	13108	140
848957498040217603	1491238615	55178	10922	140
848928217138384896	1491231633	74749	12701	134
848880519458717698	1491220261	67842	21762	133
848857910297980928	1491214871	105868	27104	88
848856822312292354	1491214612	72623	23154	103
848841326183534594	1491210917	71551	19739	134
848701201315188736	1491177509	111356	24870	144
848529014667055105	1491136456	81041	21079	74
848521325480202240	1491134623	72005	13507	137
848519587675201538	1491134209	78644	16167	143
848299191646515202	1491081662	52655	13599	125
848219027659010051	1491062549	63410	15479	140
848216035153121285	1491061836	59897	15947	140
848204870876356608	1491059174	50101	9892	136
848203201094483972	1491058776	47490	11070	140
848158641056362496	1491048152	84146	22039	138
848153860602507264	1491047012	76327	21490	139
847924397180583937	1490992304	64494	14445	138
847895524632129536	1490985420	43309	9497	122
847878820220858369	1490981438	57224	13527	94
847867380562894848	1490978710	47185	10817	47
847863243200753666	1490977724	56173	10322	121
847819720418111488	1490967347	39923	6821	140
847766558520856578	1490954672	73072	17848	140
847625389908217856	1490921015	58326	13332	137
847573358912974849	1490908610	41412	7481	85
847573220417044480	1490908577	56902	11963	117
847559519085379584	1490905310	29790	5825	87
847559239149158401	1490905244	37519	7641	140
847558426557337600	1490905050	31197	6573	122
847455180912181249	1490880434	52935	13102	131
847435163143454723	1490875662	58828	13681	141
847270189171228672	1490836329	72597	16578	134
847236476815511552	1490828291	53356	10307	137
847201455165624320	1490819941	39767	8578	137
847061031293779969	1490786462	96262	20033	127
847056211006631936	1490785312	73404	15408	139
846854703183020032	1490737269	85730	26191	130
846841493952319489	1490734120	44893	9505	108
846828561491202048	1490731037	38492	7013	144
846745288735887360	1490711183	55165	12972	87
846682464215076866	1490696204	46070	9146	47
846672219073863681	1490693762	107419	23004	138
846543183223963649	1490662997	79365	15913	133
846537639167713281	1490661675	51163	9515	138
846536212362018816	1490661335	67876	18925	140
846533818811080704	1490660764	88597	27545	144
846166053663191040	1490573082	106374	21027	116
845974102619906048	1490527318	62940	15417	144
845766504608120833	1490481422	115363	21121	101
845646761704243200	1490452874	50289	10021	52
845645916732358656	1490452672	102356	22270	124
845628655493677056	1490448557	67165	13989	87
845334323045765121	1490378382	87750	19968	143
845320243614547968	1490375026	65511	12790	140
845249587178819584	1490358180	60859	13200	140
845247455868391425	1490357672	67041	12417	144
845037368386207746	1490307583	76544	16351	123
844943801848414209	1490285275	40470	9152	143
844930836663357440	1490282184	114968	22960	131
844886082663698436	1490271513	92568	21106	116
844723847094026242	1490232834	115609	19469	137
844716458844311553	1490231072	0	18581	80
844716149828993025	1490230998	0	13619	140
844536536930619393	1490188175	88331	12908	37
844250273740738562	1490119925	66027	14699	148
844240534562594817	1490117603	65568	14691	140
844232766711648256	1490115751	35381	6042	137
844010257454153729	1490062700	74853	14522	108
843961248811225089	1490051016	60200	11064	76
843873596963459072	1490030118	99624	13558	97
843813078076719107	1490015689	80330	21494	137
843803115044454402	1490013314	88616	18291	140
843779892776964097	1490007777	63302	16338	139
843776582825267201	1490006988	86057	19983	143
843772976151642112	1490006128	69559	17088	132
843557782666317826	1489954822	35932	7396	73
843090516283723776	1489843417	84756	19188	141
843088518339612673	1489842941	93378	20828	139
842762240184999936	1489765150	45607	8172	106
842739155230740481	1489759646	50349	11350	84
842724011234791424	1489756035	87591	20678	120
842715710765830147	1489754057	0	11355	136
842714739365105664	1489753825	0	3406	114
842713677174358016	1489753572	0	5944	140
842712210896052225	1489753222	0	7563	62
842710123852320770	1489752724	67189	11921	58
842670836905639936	1489743358	0	10721	140
842506649122279425	1489704212	63480	10489	144
842494190990901248	1489701242	69001	11125	84
842491443675611138	1489700587	0	7320	140
842467917639913472	1489694978	52063	10669	132
842403173742579714	1489679542	67351	14378	135
842229104434913280	1489638041	78945	15031	55
842164356297175040	1489622603	84990	16514	79
842154802058543105	1489620325	65545	13152	66
842117164144431104	1489611352	58806	9389	80
841985915778142209	1489580060	79088	14180	140
841974528683192320	1489577345	83423	14197	113
841970726341074945	1489576438	87836	14751	137
841967881516679168	1489575760	125797	40517	138
841966077005463553	1489575330	100664	25406	139
841683431398469632	1489507942	61785	12277	88
841665325682827265	1489503625	97209	24267	41
841422186573369345	1489445656	47649	7975	139
841392683625172992	1489438622	70620	15609	140
841338126316511233	1489425615	38319	6788	124
841275470796738560	1489410677	57146	10335	134
841270741060464648	1489409549	98430	19308	118
840904454836781056	1489322219	0	6798	141
840572799202783233	1489243147	101889	16362	138
840225958854561792	1489160453	42157	8570	107
840196801009451009	1489153502	0	7625	65
840193545046773760	1489152725	0	9313	140
839976956703748096	1489101087	55529	10406	140
839968149890076672	1489098987	66115	15931	116
839883804315684864	1489078877	109526	20763	139
839826581354921984	1489065234	0	12169	128
839625347524096000	1489017256	88153	21644	120
839624377826230272	1489017025	53254	7741	65
839448469374894080	1488975085	83378	15594	128
839433951957696513	1488971624	113142	21394	116
839433678275153921	1488971559	118980	22775	126
839268048313929729	1488932070	79878	15272	137
839116941956640768	1488896043	119583	25630	140
839110000870109184	1488894388	122246	23502	134
839108868584124417	1488894118	80627	16220	137
839101660886614016	1488892400	77303	17365	136
839086723552411648	1488888839	79981	14889	136
